freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,A,W011,IT	30 	30 	13 	496 	9 	12 	137 	10 	11 
A,T,HAZ_NHAZ,A,W011,LI	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,A,W011,LT	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,LU	0 	0 	0 	0 	1 	0 	0 	0 	1 
A,T,HAZ_NHAZ,A,W011,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,NL	20 	50 	31 	33 	34 	54 	24 	23 	25 
A,T,HAZ_NHAZ,A,W011,NO	1 	3 	5 	2 	3 	16 	3 	3 	8 
A,T,HAZ_NHAZ,A,W011,PL	9367 	9367 	0 	1 	10 	25 	32 	0 	0 
A,T,HAZ_NHAZ,A,W011,PT	0 	0 	3 	0 	5 	0 	3 	0 b	16 
A,T,HAZ_NHAZ,A,W011,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,RS	: 	: 	: 	0 	: 	: 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,SK	110 	24 	30 	27 	27 	26 	31 	21 	22 
A,T,HAZ_NHAZ,A,W011,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W011,UK	0 	0 	0 	0 	29 	14 	10 	6 	: 
A,T,HAZ_NHAZ,A,W011,XK	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,W012,AT	1 	0 	0 	0 	0 	9 	10 	0 	0 
A,T,HAZ_NHAZ,A,W012,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W012,BE	0 	0 	0 	0 	1080 	60690 	9552 	15334 	23487 
A,T,HAZ_NHAZ,A,W012,BG	57 	0 	0 	0 	15 	0 	0 	0 	1 
A,T,HAZ_NHAZ,A,W012,CY	1 	1 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,CZ	272 	182 	56 	19 	68 	90 	66 	73 b	65 
A,T,HAZ_NHAZ,A,W012,DE	179 	255 	239 	176 	75 	198 	177 	147 	128 
A,T,HAZ_NHAZ,A,W012,DK	12 	12 	16 	0 	3 	3 	7 	9 	10 
A,T,HAZ_NHAZ,A,W012,EE	10 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,ES	4215 	2714 	1166 	1191 	1056 	1416 	1276 	1324 	1313 
A,T,HAZ_NHAZ,A,W012,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W012,FR	0 	0 	0 	7 	406 	0 	8 	10212 	0 
